"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",1748.14474668258,59.7821,NA,1748.14474668258
"JUNK2",1733.74353613839,59.9557,NA,1732.75339134334
"TB_20230705_2A",1568.00660028413,60.4232,NA,1566.21663841166
"TB_20230705_2B",1564.39318061596,59.8493,NA,1561.7159532675
"CHEL_20230706_2A",2049.93069589893,60.5531,NA,2045.25582544078
"CHEL_20230706_2B",2047.43756644371,60.3495,NA,2041.60441098376
"HOOD_20230717_2A",2073.28623240543,59.9065,NA,2066.2021108824
"HOOD_20230717_2B",2074.33458822828,59.9137,NA,2066.07030700028
