"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",859.778740899773,60.0713,NA,859.778740899773
"JUNK2",854.858411535486,60.031,NA,854.370199992633
"TB_20230705_1A",1693.86734396476,59.8977,NA,1691.93370544426
"TB_20230705_1B",1694.4318146945,59.6566,NA,1691.53204547368
"CHEL_20230706_1A",2023.60546479126,60.1874,NA,2018.99062906767
"CHEL_20230706_1B",2024.67091278939,60.1209,NA,2018.90261959056
"HOOD_20230717_1A",2080.42932986951,59.531,NA,2073.32080140754
"HOOD_20230717_1B",2092.0124538023,59.9668,NA,2083.67774283098
