"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",1723.29889160425,59.8053,NA,1723.29889160425
"JUNK2",1710.14302045969,60.0447,NA,1709.16635397171
"TB_20230705_4A",1645.97437013939,60.049,NA,1644.09540396343
"TB_20230705_4B",1647.16586909235,60.5598,NA,1644.34698854056
"TB_20230705_5A",1653.81658986172,59.6068,NA,1650.0450582999
"TB_20230705_5B",1649.26332409962,60.5569,NA,1644.5645681905
"CHEL_20230721_4A",2048.56719050674,60.0855,NA,2041.56753040251
"CHEL_20230721_4B",2049.94942948127,59.975,NA,2041.78230028015
