"","Site","Rep","Date.Collected","ph.Field","temp.Field","Temperature...spec.C","Salinity","pH.sample.with.dye.corrections","pH.of.sample.without.correction","Date","TA","Mass","Sample.Index","TA_evap","seacarb.flag","seacarb.S","seacarb.T","seacarb.Patm","seacarb.P","seacarb.pH","seacarb.CO2","seacarb.fCO2","seacarb.pCO2","seacarb.fCO2pot","seacarb.pCO2pot","seacarb.fCO2insitu","seacarb.pCO2insitu","seacarb.HCO3","seacarb.CO3","seacarb.DIC","seacarb.ALK","seacarb.OmegaAragonite","seacarb.OmegaCalcite"
"14","Thorndyke","3B","5-Jun-23","na",24.5,24.9,25.46,8.674331,8.671853,"20230605",1558.143,60.7544,NA,1555.476,8.000000e+00,2.546000e+01,2.450000e+01,1.000000e+00,0.000000e+00,8.674331e+00,1.284202e-06,4.249034e+01,4.262714e+01,4.249034e+01,4.262714e+01,4.249034e+01,4.262714e+01,7.723114e-04,3.040902e-04,1.077686e-03,1.555476e-03,5.027476e+00,7.872593e+00
"15","Chelsea","1A","6-Jun-23","na",17.3,24.9,27.99,8.096104,8.096460,"20230606",2017.882,60.2515,NA,2013.280,8.000000e+00,2.799000e+01,1.730000e+01,1.000000e+00,0.000000e+00,8.096104e+00,1.181105e-05,3.247796e+02,3.259233e+02,3.247796e+02,3.259233e+02,3.247796e+02,3.259233e+02,1.664236e-03,1.416374e-04,1.817684e-03,2.013280e-03,2.243776e+00,3.541056e+00
"16","Chelsea","1B","6-Jun-23","na",17.3,24.9,27.99,8.096104,8.096460,"20230606",2012.723,60.9029,NA,2006.989,8.000000e+00,2.799000e+01,1.730000e+01,1.000000e+00,0.000000e+00,8.096104e+00,1.177289e-05,3.237304e+02,3.248704e+02,3.237304e+02,3.248704e+02,3.237304e+02,3.248704e+02,1.658860e-03,1.411799e-04,1.811812e-03,2.006989e-03,2.236528e+00,3.529617e+00
"17","Chelsea","2A","6-Jun-23","na",20.1,24.9,27.95,8.207297,8.206842,"20230606",2007.620,59.9114,NA,2000.761,8.000000e+00,2.795000e+01,2.010000e+01,1.000000e+00,0.000000e+00,8.207297e+00,7.954736e-06,2.369368e+02,2.377423e+02,2.369368e+02,2.377423e+02,2.369368e+02,2.377423e+02,1.538688e-03,1.878296e-04,1.734472e-03,2.000761e-03,3.012069e+00,4.722286e+00
"18","Chelsea","2B","6-Jun-23","na",20.1,24.9,27.95,8.201083,8.200657,"20230606",2004.231,60.3926,NA,1996.246,8.000000e+00,2.795000e+01,2.010000e+01,1.000000e+00,0.000000e+00,8.201083e+00,8.076867e-06,2.405746e+02,2.413925e+02,2.405746e+02,2.413925e+02,2.405746e+02,2.413925e+02,1.540116e-03,1.853331e-04,1.733526e-03,1.996246e-03,2.972034e+00,4.659520e+00
"19","Chelsea","3A","6-Jun-23","na",21.2,24.9,27.38,8.216687,8.216121,"20230606",2002.670,59.0987,NA,1993.557,8.000000e+00,2.738000e+01,2.120000e+01,1.000000e+00,0.000000e+00,8.216687e+00,7.550903e-06,2.311456e+02,2.319208e+02,2.311456e+02,2.319208e+02,2.311456e+02,2.319208e+02,1.517174e-03,1.942252e-04,1.718950e-03,1.993557e-03,3.136278e+00,4.914130e+00
"20","Chelsea","3B","6-Jun-23","na",21.2,24.9,27.38,8.216687,8.216121,"20230606",1998.618,59.3597,NA,1988.392,8.000000e+00,2.738000e+01,2.120000e+01,1.000000e+00,0.000000e+00,8.216687e+00,7.530437e-06,2.305192e+02,2.312923e+02,2.305192e+02,2.312923e+02,2.305192e+02,2.312923e+02,1.513062e-03,1.936988e-04,1.714291e-03,1.988392e-03,3.127777e+00,4.900811e+00
"21","Chelsea","4A","6-Jun-23","na",19.7,24.9,28.52,8.183585,8.183266,"20230606",2000.898,59.7158,NA,1989.530,8.000000e+00,2.852000e+01,1.970000e+01,1.000000e+00,0.000000e+00,8.183585e+00,8.466028e-06,2.501274e+02,2.509821e+02,2.501274e+02,2.509821e+02,2.501274e+02,2.509821e+02,1.547586e-03,1.788845e-04,1.734937e-03,1.989530e-03,2.858544e+00,4.476603e+00
"22","Chelsea","4B","6-Jun-23","na",19.7,24.9,28.52,8.212593,8.212135,"20230606",2004.973,59.3785,NA,1992.449,8.000000e+00,2.852000e+01,1.970000e+01,1.000000e+00,0.000000e+00,8.212593e+00,7.811264e-06,2.307825e+02,2.315711e+02,2.307825e+02,2.315711e+02,2.307825e+02,2.315711e+02,1.526527e-03,1.886385e-04,1.722976e-03,1.992449e-03,3.014411e+00,4.720698e+00
"23","Thorndyke","2B","5-Jun-23","na",22.0,24.9,23.00,8.521922,8.520157,"06052023",1550.896,60.5646,NA,1537.715,8.000000e+00,2.300000e+01,2.200000e+01,1.000000e+00,0.000000e+00,8.521922e+00,2.477447e-06,7.571919e+01,7.597058e+01,7.571919e+01,7.597058e+01,7.571919e+01,7.597058e+01,9.644514e-04,2.272394e-04,1.194168e-03,1.537715e-03,3.723574e+00,5.941842e+00
"24","Thorndyke","1A","5-Jun-23","8.67",18.7,25.0,21.61,8.463122,8.461426,"06052023",1776.180,59.4610,NA,1764.083,8.000000e+00,2.161000e+01,1.870000e+01,1.000000e+00,0.000000e+00,8.463122e+00,3.988139e-06,1.102956e+02,1.106772e+02,1.102956e+02,1.106772e+02,1.102956e+02,1.106772e+02,1.238594e-03,2.161826e-04,1.458764e-03,1.764083e-03,3.485098e+00,5.648776e+00
